state,timestamp,leading_candidate_name,trailing_candidate_name,leading_candidate_votes,trailing_candidate_votes,vote_differential,votes_remaining,new_votes,new_votes_relevant,new_votes_formatted,leading_candidate_partition,trailing_candidate_partition,precincts_reporting,precincts_total,hurdle,hurdle_change,hurdle_mov_avg,counties_partition,total_votes_count
Alabama,2024-11-06 07:34:30.984000+00:00,Donald Trump,Kamala Harris,1446072,764427,681645,63063,15652,15559," 15,559",0.3205861559226172,0.6794138440773828,1972,2028,5.956110581459784,1.049112278037164,0.45553333333333335,{},2231618
Alabama,2024-11-06 06:58:50.328000+00:00,Donald Trump,Kamala Harris,1441084,753856,687228,78715,1,0,      0,0,0,1958,2028,4.90699830342262,5.598605497514342e-05,0.28883333333333333,{},2215966
Alabama,2024-11-06 06:33:22.626000+00:00,Donald Trump,Kamala Harris,1441084,753856,687228,78716,3360,3346,"  3,346",0.8625224148236701,0.13747758517632994,1958,2028,4.906942317367645,0.19533012244011427,0.28883333333333333,{},2215965
Alabama,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,1438198,753396,684802,82076,750,747,    747,0.37884872824631866,0.6211512717536813,1955,2028,4.711612194927531,0.037033594687593485,0.33493333333333336,{},2212605
Alabama,2024-11-06 05:57:24.526000+00:00,Donald Trump,Kamala Harris,1437915,752932,684983,82826,0,0,      0,0,0,1954,2028,4.674578600239937,0.0,0.3332,{},2211855
Alabama,2024-11-06 05:47:12.166000+00:00,Donald Trump,Kamala Harris,1437915,752932,684983,82826,3131,3113,"  3,113",0.7073562479922904,0.2926437520077096,1952,2028,4.674578600239937,0.15964113071623398,0.3332,{},2211855
Alabama,2024-11-06 05:39:35.768000+00:00,Donald Trump,Kamala Harris,1435713,752021,683692,85957,11070,11017," 11,017",0.8258146500862303,0.17418534991376963,1950,2028,4.514937469523703,0.4954203643949846,0.35996666666666666,{},2208724
Alabama,2024-11-06 05:29:08.896000+00:00,Donald Trump,Kamala Harris,1426615,750102,676513,97027,3846,3811,"  3,811",0.8625032799790081,0.13749672002099186,1939,2028,4.019517105128719,0.1480154409026624,0.4982666666666667,{},2197654
Alabama,2024-11-06 05:16:19.429000+00:00,Donald Trump,Kamala Harris,1423328,749578,673750,100873,62617,62117," 62,117",0.4492489978588792,0.5507510021411208,1938,2028,3.8715016642260562,1.2718251934496112,0.5507510021411208,{},2193808
Alabama,2024-11-06 05:06:43.094000+00:00,Donald Trump,Kamala Harris,1395422,715367,680055,163490,45089,44523," 44,523",0.6596141320216518,0.34038586797834824,1876,2028,2.599676470776445,0.4882884065337958,0.34038586797834824,{},2131191
Alabama,2024-11-06 04:58:35.497000+00:00,Donald Trump,Kamala Harris,1366054,700212,665842,208579,5344,5295,"  5,295",0.7658168083097261,0.23418319169027385,1837,2028,2.1113880642426492,0.046896336541176975,0.4378666666666667,{},2086102
Alabama,2024-11-06 04:47:16.799000+00:00,Donald Trump,Kamala Harris,1361999,698972,663027,213923,1303,1293,"  1,293",0.9079659706109822,0.0920340293890178,1822,2028,2.0644917277014723,0.011945919315300202,0.4853,{},2080758
Alabama,2024-11-06 04:40:49.331000+00:00,Donald Trump,Kamala Harris,1360825,698853,661972,215226,229161,226808,"226,808",0.49697982434482024,0.5030201756551798,1787,2028,2.052545808386172,0.799058940830581,0.5030201756551798,{},2079455
Alabama,2024-11-06 04:32:09.276000+00:00,Donald Trump,Kamala Harris,1248106,584764,663342,444387,237915,235090,"235,090",0.6896805478752819,0.3103194521247182,1588,2028,1.253486867555591,0.3287164010877873,0.3103194521247182,{},1850294
Alabama,2024-11-06 04:24:11.321000+00:00,Donald Trump,Kamala Harris,1085969,511811,574158,682302,0,0,      0,0,0,1380,2028,0.9247704664678037,-0.0752295335321963,,{},1612379
Alaska,2024-11-06 07:08:45.106000+00:00,Donald Trump,Kamala Harris,108976,80982,27994,192072,96562,93207," 93,207",0.5511925070005472,0.44880749299945283,205,403,0.5759312504307479,0.042627582081094406,0.44880749299945283,{},197928
Alaska,2024-11-06 06:19:50.161000+00:00,Donald Trump,Kamala Harris,57601,39150,18451,288634,42013,40155," 40,155",0.6106337940480637,0.3893662059519363,105,403,0.5333036683496535,0.018231163159236674,0.3893662059519363,{},101366
Alaska,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,33081,23515,9566,330647,59353,56596," 56,596",0.5845112728814756,0.4154887271185243,61,403,0.5150725051904168,0.015072505190416807,0.4154887271185243,{},59353
Alaska,2024-11-06 04:24:11.321000+00:00,Kamala Harris,Donald Trump,0,0,0,390000,0,0,      0,0,0,0,403,0.5,-0.5,,{},0
Arizona,2024-11-06 08:02:13.805000+00:00,Donald Trump,Kamala Harris,968471,937248,31223,1774303,8340,8240,"  8,240",0.6855582524271845,0.3144417475728155,903,1736,0.508871720765938,0.0009063425990920582,0.3617666666666667,{},1921542
Arizona,2024-11-06 07:45:51.275000+00:00,Donald Trump,Kamala Harris,962822,934657,28165,1782643,1054,1045,"  1,045",0.6822966507177033,0.31770334928229665,908,1736,0.507965378166846,0.00011239420798991873,0.3755,{},1913202
Arizona,2024-11-06 07:34:30.984000+00:00,Donald Trump,Kamala Harris,962109,934325,27784,1783697,745,738,    738,0.28861788617886175,0.7113821138211383,908,1736,0.507852983958856,-8.486954455144691e-05,0.3771,{},1912148
Arizona,2024-11-06 07:26:42.401000+00:00,Donald Trump,Kamala Harris,961896,933800,28096,1784442,683,1345,"  1,345",0.5420074349442379,0.4579925650557621,908,1736,0.5079378535034075,3.4950307660430724e-05,0.36856666666666665,{},1911403
Arizona,2024-11-06 07:18:21.055000+00:00,Donald Trump,Kamala Harris,961167,933184,27983,1785125,32881,32502," 32,502",0.6356224232354932,0.36437757676450677,907,1736,0.507902903195747,0.002587700236631907,0.36437757676450677,{},1910720
Arizona,2024-11-06 06:48:52.841000+00:00,Donald Trump,Kamala Harris,940508,921341,19167,1818006,4164,4116,"  4,116",0.6132167152575316,0.3867832847424684,892,1736,0.5053152029591151,0.00027000864788639944,0.3829666666666667,{},1877839
Arizona,2024-11-06 06:42:04.340000+00:00,Donald Trump,Kamala Harris,937984,919749,18235,1822170,4387,4325,"  4,325",0.7158381502890173,0.2841618497109827,890,1736,0.5050451943112287,0.0005274316801461287,0.3761,{},1873675
Arizona,2024-11-06 06:19:50.161000+00:00,Donald Trump,Kamala Harris,934888,918520,16368,1826557,7030,6930,"  6,930",0.674025974025974,0.32597402597402597,888,1736,0.5045177626310826,0.0006805093907805704,0.3945666666666667,{},1869288
Arizona,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,930217,916261,13956,1833587,1954,1932,"  1,932",0.781055900621118,0.21894409937888198,884,1736,0.503837253240302,0.00030236669688110673,0.40803333333333336,{},1862258
Arizona,2024-11-06 05:52:50.427000+00:00,Donald Trump,Kamala Harris,928708,915838,12870,1835541,11457,10587," 10,587",0.4766222725984698,0.5233777274015302,883,1736,0.5035348865434209,-0.00011318678924621128,0.4120333333333333,{},1860304
Arizona,2024-11-06 05:22:29.687000+00:00,Donald Trump,Kamala Harris,923662,910297,13365,1846998,3688,3652,"  3,652",0.7891566265060241,0.21084337349397592,878,1736,0.5036480733326671,0.0005826066442484734,0.30065548835693334,{},1848847
Arizona,2024-11-06 05:16:19.429000+00:00,Donald Trump,Kamala Harris,920780,909527,11253,1850686,12447,12351," 12,351",0.5877256902275119,0.4122743097724881,876,1736,0.5030654666884187,0.0006068552590018372,0.3143441425650015,{},1845159
Arizona,2024-11-06 05:06:43.094000+00:00,Donald Trump,Kamala Harris,913521,904435,9086,1863133,4733,4703,"  4,703",0.7191154582181587,0.28088454178184136,870,1736,0.5024586114294168,0.0005625097032847526,0.21016365202411713,{},1832712
Arizona,2024-11-06 04:47:16.799000+00:00,Donald Trump,Kamala Harris,910139,903114,7025,1867866,6981,6907,"  6,907",0.837990444476618,0.1620095555233821,868,1736,0.5018961017261321,0.0012625669258350403,0.1620095555233821,{},1827979
Arizona,2024-11-06 04:24:11.321000+00:00,Donald Trump,Kamala Harris,904351,901995,2356,1874847,0,0,      0,0,0,865,1736,0.500633534800297,-0.49936646519970296,,{},1820998
Arkansas,2024-11-06 08:02:13.805000+00:00,Donald Trump,Kamala Harris,753459,392622,360837,16997,3770,3707,"  3,707",0.826274615592123,0.173725384407877,2800,2841,11.358412271752709,2.030793142853936,0.2519,{},1172392
Arkansas,2024-11-06 07:34:30.984000+00:00,Donald Trump,Kamala Harris,750396,391978,358418,20767,253,248,    248,0.564516129032258,0.43548387096774194,2791,2841,9.327619128898773,0.1070292558255801,0.2582333333333333,{},1168622
Arkansas,2024-11-06 07:26:42.401000+00:00,Donald Trump,Kamala Harris,750256,391870,358386,21020,0,0,      0,0,0,2791,2841,9.220589873073193,0.0,0.2565,{},1168369
Arkansas,2024-11-06 07:07:09.390000+00:00,Donald Trump,Kamala Harris,750256,391870,358386,21020,490,481,    481,0.45945945945945943,0.5405405405405406,2792,2841,9.220589873073193,0.19772856202629363,0.2565,{},1168369
Arkansas,2024-11-06 06:54:30.011000+00:00,Donald Trump,Kamala Harris,750035,391610,358425,21510,0,0,      0,0,0,2791,2841,9.0228613110469,0.0,0.25143333333333334,{},1167879
Arkansas,2024-11-06 06:48:52.841000+00:00,Donald Trump,Kamala Harris,750035,391610,358425,21510,0,0,      0,0,0,2754,2841,9.0228613110469,0.0,0.25143333333333334,{},1167879
Arkansas,2024-11-06 06:19:50.161000+00:00,Donald Trump,Kamala Harris,750035,391610,358425,21510,0,0,      0,0,0,2751,2841,9.0228613110469,4.755729266214814e-05,0.25143333333333334,{},1167879
Arkansas,2024-11-06 06:09:38.534000+00:00,Donald Trump,Kamala Harris,750034,391611,358423,21510,0,0,      0,0,0,2751,2841,9.022813753754237,0.0,0.25143333333333334,{},1167879
Arkansas,2024-11-06 05:58:39.910000+00:00,Donald Trump,Kamala Harris,750034,391611,358423,21510,8153,7955,"  7,955",0.7042111879321182,0.2957888120678818,2755,2841,9.022813753754237,2.3985535776567595,0.25143333333333334,{},1167879
Arkansas,2024-11-06 05:57:24.526000+00:00,Donald Trump,Kamala Harris,744432,389258,355174,29663,9061,8896,"  8,896",0.748988309352518,0.251011690647482,2736,2841,6.6242601760974775,1.4915239133201652,0.2326,{},1159726
Arkansas,2024-11-06 05:52:50.427000+00:00,Donald Trump,Kamala Harris,737769,387025,350744,38724,25286,24833," 24,833",0.7751379213143801,0.22486207868561994,2714,2841,5.132736262777312,1.939270822339071,0.25706666666666667,{},1150665
Arkansas,2024-11-06 05:47:12.166000+00:00,Donald Trump,Kamala Harris,718520,381441,337079,64010,0,0,      0,0,0,2655,2841,3.193465440438241,0.0,0.2513,{},1125379
Arkansas,2024-11-06 05:39:35.768000+00:00,Donald Trump,Kamala Harris,718520,381441,337079,64010,0,0,      0,0,0,2653,2841,3.193465440438241,0.0,0.2513,{},1125379
Arkansas,2024-11-06 05:34:39.692000+00:00,Donald Trump,Kamala Harris,718520,381441,337079,64010,186,184,    184,0.7717391304347826,0.22826086956521738,2611,2841,3.193465440438241,0.00860072964325953,0.2513,{},1125379
Arkansas,2024-11-06 05:29:08.896000+00:00,Donald Trump,Kamala Harris,718378,381399,336979,64196,3751,3656,"  3,656",0.4220459518599562,0.5779540481400438,2598,2841,3.1848647107949817,0.14392665873587251,0.2527,{},1125193
Arkansas,2024-11-06 05:22:29.687000+00:00,Donald Trump,Kamala Harris,716835,379286,337549,67947,4847,4611,"  4,611",1.0206029060941229,-0.02060290609412275,2576,2841,3.040938052059109,0.2029224371975067,0.23843333333333333,{},1121442
Arkansas,2024-11-06 05:16:19.429000+00:00,Donald Trump,Kamala Harris,712129,379381,332748,72794,6258,6128,"  6,128",0.8366514360313316,0.1633485639686684,2563,2841,2.8380156148616025,0.2117803820534978,0.31593333333333334,{},1116595
Arkansas,2024-11-06 05:06:43.094000+00:00,Donald Trump,Kamala Harris,707002,378380,328622,79052,0,0,      0,0,0,2545,2841,2.6262352328081047,0.0,0.3813666666666667,{},1110337
Arkansas,2024-11-06 04:58:35.497000+00:00,Donald Trump,Kamala Harris,707002,378380,328622,79052,9582,9411,"  9,411",0.8157475294867708,0.1842524705132292,2539,2841,2.6262352328081047,0.2641571384715631,0.3813666666666667,{},1110337
Arkansas,2024-11-06 04:53:06.738000+00:00,Donald Trump,Kamala Harris,699325,376646,322679,88634,8295,8133,"  8,133",0.5434648961022992,0.45653510389770074,2508,2841,2.3620780943365416,0.1630838368403622,0.47526666666666667,{},1100755
Arkansas,2024-11-06 04:47:16.799000+00:00,Donald Trump,Kamala Harris,694905,372933,321972,96929,83,77,     77,0.9090909090909091,0.09090909090909091,2482,2841,2.1989942574961794,0.0017857551681670358,0.4826,{},1092460
Arkansas,2024-11-06 04:40:49.331000+00:00,Donald Trump,Kamala Harris,694835,372926,321909,97012,67304,64637," 64,637",0.5163915404489688,0.48360845955103116,2512,2841,2.1972085023280123,0.70177429081193,0.48360845955103116,{},1092377
Arkansas,2024-11-06 04:32:09.276000+00:00,Donald Trump,Kamala Harris,661457,341667,319790,164316,15926,15643," 15,643",0.8310426388800103,0.16895736111998977,2378,2841,1.4954342115160824,0.11734595692455763,0.16895736111998977,{},1025073
Arkansas,2024-11-06 04:24:11.321000+00:00,Donald Trump,Kamala Harris,648457,339024,309433,180242,0,0,      0,0,0,2341,2841,1.3780882545915247,0.37808825459152473,,{},1009147
California,2024-11-06 08:02:13.805000+00:00,Kamala Harris,Donald Trump,5114958,3362606,1752352,9446521,157936,152528,"152,528",0.46786819469212215,0.5321318053078778,11892,24811,0.5951314379560747,0.001040965191393739,0.5321318053078778,{},8695122
California,2024-11-06 07:45:51.275000+00:00,Kamala Harris,Donald Trump,5043595,3281441,1762154,9604457,56319,54073," 54,073",0.47661494646126534,0.5233850535387347,11676,24811,0.594090472764681,0.0004142659688437522,0.5233850535387347,{},8537186
California,2024-11-06 07:34:30.984000+00:00,Kamala Harris,Donald Trump,5017823,3253140,1764683,9660776,159884,154601,"154,601",0.4400747731256589,0.5599252268743411,11599,24811,0.5936762067958372,0.000557505673640657,0.5599252268743411,{},8480867
California,2024-11-06 07:18:21.055000+00:00,Kamala Harris,Donald Trump,4949787,3166575,1783212,9820660,2882,2820,"  2,820",0.25531914893617025,0.7446808510638298,11380,24811,0.5931187011221966,-4.472309814240738e-05,0.6523,{},8320983
California,2024-11-06 07:07:09.390000+00:00,Kamala Harris,Donald Trump,4949067,3164475,1784592,9823542,83759,81346," 81,346",0.3572763258181103,0.6427236741818897,11376,24811,0.593163424220339,-0.0004143075716018796,0.6427236741818897,{},8318101
California,2024-11-06 06:54:30.011000+00:00,Kamala Harris,Donald Trump,4920004,3112192,1807812,9907301,21804,20676," 20,676",0.6850938285935384,0.3149061714064616,11262,24811,0.5935777317919408,0.0006008175345422195,0.4190333333333333,{},8234342
California,2024-11-06 06:48:52.841000+00:00,Kamala Harris,Donald Trump,4905839,3105681,1800158,9929105,17471,16952," 16,952",0.35004719207173196,0.649952807928268,11232,24811,0.5929769142573986,-9.881140603429373e-05,0.5394333333333333,{},8212538
California,2024-11-06 06:42:04.340000+00:00,Kamala Harris,Donald Trump,4899905,3094663,1805242,9946576,46488,44544," 44,544",0.6041666666666667,0.3958333333333333,11208,24811,0.5930757256634329,0.0009092286120192528,0.3958333333333333,{},8195067
